Node name, sub deadline ratio, DSP, Shared mem, Const mem, data mem
multiply_1113, 0.50, 2, None, None, None, None
add_1246, 0.15, 2, None, None, None, None
read_cell_hidden_1x1_1x1_83, 0.17, None, 3, None, None, None
read_u2_h_83_1x128, 0.29, None, None, 5, None, None
multiply_1114, 0.38, 2, None, None, None, None
add_1247, 0.43, 2, None, None, None, None
read_cell_hidden_1x1_1x1_84, 0.41, None, 3, None, None, None
read_u2_h_84_1x128, 0.22, None, None, 5, None, None
multiply_1115, 0.14, 2, None, None, None, None
add_1248, 0.39, 2, None, None, None, None
read_cell_hidden_1x1_1x1_85, 0.18, None, 3, None, None, None
read_u2_h_85_1x128, 0.33, None, None, 5, None, None
multiply_1116, 0.17, 2, None, None, None, None
add_1249, 0.20, 2, None, None, None, None
read_cell_hidden_1x1_1x1_86, 0.37, None, 3, None, None, None
read_u2_h_86_1x128, 0.13, None, None, 5, None, None
multiply_1117, 0.49, 2, None, None, None, None
add_1250, 0.45, 2, None, None, None, None
read_cell_hidden_1x1_1x1_87, 0.40, None, 3, None, None, None
read_u2_h_87_1x128, 0.27, None, None, 5, None, None
multiply_1118, 0.44, 2, None, None, None, None
add_1251, 0.43, 2, None, None, None, None
read_cell_hidden_1x1_1x1_88, 0.48, None, 3, None, None, None
read_u2_h_88_1x128, 0.48, None, None, 5, None, None
multiply_1119, 0.30, 2, None, None, None, None
add_1252, 0.14, 2, None, None, None, None
read_cell_hidden_1x1_1x1_89, 0.39, None, 3, None, None, None
read_u2_h_89_1x128, 0.41, None, None, 5, None, None
multiply_1120, 0.40, 2, None, None, None, None
add_1253, 0.20, 2, None, None, None, None
read_cell_hidden_1x1_1x1_90, 0.14, None, 3, None, None, None
read_u2_h_90_1x128, 0.26, None, None, 5, None, None
multiply_1121, 0.33, 2, None, None, None, None
add_1254, 0.41, 2, None, None, None, None
read_cell_hidden_1x1_1x1_91, 0.18, None, 3, None, None, None
read_u2_h_91_1x128, 0.40, None, None, 5, None, None
multiply_1122, 0.38, 2, None, None, None, None
add_1255, 0.26, 2, None, None, None, None
read_cell_hidden_1x1_1x1_92, 0.13, None, 3, None, None, None
read_u2_h_92_1x128, 0.46, None, None, 5, None, None
multiply_1123, 0.35, 2, None, None, None, None
add_1256, 0.41, 2, None, None, None, None
read_cell_hidden_1x1_1x1_93, 0.42, None, 3, None, None, None
read_u2_h_93_1x128, 0.35, None, None, 5, None, None
multiply_1124, 0.18, 2, None, None, None, None
add_1257, 0.39, 2, None, None, None, None
read_cell_hidden_1x1_1x1_94, 0.36, None, 3, None, None, None
read_u2_h_94_1x128, 0.16, None, None, 5, None, None
multiply_1125, 0.41, 2, None, None, None, None
add_1258, 0.22, 2, None, None, None, None
read_cell_hidden_1x1_1x1_95, 0.12, None, 3, None, None, None
read_u2_h_95_1x128, 0.46, None, None, 5, None, None
multiply_1126, 0.10, 2, None, None, None, None
add_1259, 0.50, 2, None, None, None, None
read_cell_hidden_1x1_1x1_96, 0.13, None, 3, None, None, None
read_u2_h_96_1x128, 0.26, None, None, 5, None, None
multiply_1127, 0.14, 2, None, None, None, None
add_1260, 0.30, 2, None, None, None, None
read_cell_hidden_1x1_1x1_97, 0.11, None, 3, None, None, None
read_u2_h_97_1x128, 0.31, None, None, 5, None, None
multiply_1128, 0.16, 2, None, None, None, None
add_1261, 0.32, 2, None, None, None, None
read_cell_hidden_1x1_1x1_98, 0.43, None, 3, None, None, None
read_u2_h_98_1x128, 0.30, None, None, 5, None, None
multiply_1129, 0.27, 2, None, None, None, None
add_1262, 0.48, 2, None, None, None, None
read_cell_hidden_1x1_1x1_99, 0.18, None, 3, None, None, None
read_u2_h_99_1x128, 0.32, None, None, 5, None, None
multiply_1130, 0.27, 2, None, None, None, None
add_1263, 0.49, 2, None, None, None, None
read_cell_hidden_1x1_1x1_100, 0.19, None, 3, None, None, None
read_u2_h_100_1x128, 0.41, None, None, 5, None, None
multiply_1131, 0.11, 2, None, None, None, None
add_1264, 0.30, 2, None, None, None, None
read_cell_hidden_1x1_1x1_101, 0.40, None, 3, None, None, None
read_u2_h_101_1x128, 0.31, None, None, 5, None, None
multiply_1132, 0.44, 2, None, None, None, None
add_1265, 0.34, 2, None, None, None, None
read_cell_hidden_1x1_1x1_102, 0.18, None, 3, None, None, None
read_u2_h_102_1x128, 0.45, None, None, 5, None, None
multiply_1133, 0.18, 2, None, None, None, None
add_1266, 0.47, 2, None, None, None, None
read_cell_hidden_1x1_1x1_103, 0.47, None, 3, None, None, None
read_u2_h_103_1x128, 0.16, None, None, 5, None, None
multiply_1134, 0.23, 2, None, None, None, None
add_1267, 0.29, 2, None, None, None, None
read_cell_hidden_1x1_1x1_104, 0.15, None, 3, None, None, None
read_u2_h_104_1x128, 0.11, None, None, 5, None, None
multiply_1135, 0.30, 2, None, None, None, None
add_1268, 0.45, 2, None, None, None, None
read_cell_hidden_1x1_1x1_105, 0.10, None, 3, None, None, None
read_u2_h_105_1x128, 0.13, None, None, 5, None, None
multiply_1136, 0.17, 2, None, None, None, None
add_1269, 0.20, 2, None, None, None, None
read_cell_hidden_1x1_1x1_106, 0.46, None, 3, None, None, None
read_u2_h_106_1x128, 0.31, None, None, 5, None, None
multiply_1137, 0.40, 2, None, None, None, None
add_1270, 0.34, 2, None, None, None, None
read_cell_hidden_1x1_1x1_107, 0.20, None, 3, None, None, None
read_u2_h_107_1x128, 0.15, None, None, 5, None, None
multiply_1138, 0.27, 2, None, None, None, None
add_1271, 0.17, 2, None, None, None, None
read_cell_hidden_1x1_1x1_108, 0.31, None, 3, None, None, None
read_u2_h_108_1x128, 0.16, None, None, 5, None, None
multiply_1139, 0.18, 2, None, None, None, None
add_1272, 0.38, 2, None, None, None, None
read_cell_hidden_1x1_1x1_109, 0.32, None, 3, None, None, None
read_u2_h_109_1x128, 0.41, None, None, 5, None, None
multiply_1140, 0.42, 2, None, None, None, None
add_1273, 0.23, 2, None, None, None, None
read_cell_hidden_1x1_1x1_110, 0.31, None, 3, None, None, None
read_u2_h_110_1x128, 0.36, None, None, 5, None, None
multiply_1141, 0.22, 2, None, None, None, None
add_1274, 0.41, 2, None, None, None, None
read_cell_hidden_1x1_1x1_111, 0.15, None, 3, None, None, None
read_u2_h_111_1x128, 0.15, None, None, 5, None, None
multiply_1142, 0.20, 2, None, None, None, None
add_1275, 0.49, 2, None, None, None, None
read_cell_hidden_1x1_1x1_112, 0.40, None, 3, None, None, None
read_u2_h_112_1x128, 0.44, None, None, 5, None, None
multiply_1143, 0.32, 2, None, None, None, None
add_1276, 0.20, 2, None, None, None, None
read_cell_hidden_1x1_1x1_113, 0.37, None, 3, None, None, None
read_u2_h_113_1x128, 0.43, None, None, 5, None, None
multiply_1144, 0.44, 2, None, None, None, None
add_1277, 0.23, 2, None, None, None, None
read_cell_hidden_1x1_1x1_114, 0.34, None, 3, None, None, None
read_u2_h_114_1x128, 0.21, None, None, 5, None, None
multiply_1145, 0.14, 2, None, None, None, None
add_1278, 0.38, 2, None, None, None, None
read_cell_hidden_1x1_1x1_115, 0.34, None, 3, None, None, None
read_u2_h_115_1x128, 0.43, None, None, 5, None, None
multiply_1146, 0.30, 2, None, None, None, None
add_1279, 0.37, 2, None, None, None, None
read_cell_hidden_1x1_1x1_116, 0.47, None, 3, None, None, None
read_u2_h_116_1x128, 0.38, None, None, 5, None, None
multiply_1147, 0.35, 2, None, None, None, None
add_1280, 0.16, 2, None, None, None, None
read_cell_hidden_1x1_1x1_117, 0.11, None, 3, None, None, None
read_u2_h_117_1x128, 0.43, None, None, 5, None, None
multiply_1148, 0.20, 2, None, None, None, None
add_1281, 0.26, 2, None, None, None, None
read_cell_hidden_1x1_1x1_118, 0.31, None, 3, None, None, None
read_u2_h_118_1x128, 0.45, None, None, 5, None, None
multiply_1149, 0.18, 2, None, None, None, None
add_1282, 0.44, 2, None, None, None, None
read_cell_hidden_1x1_1x1_119, 0.35, None, 3, None, None, None
read_u2_h_119_1x128, 0.49, None, None, 5, None, None
multiply_1150, 0.41, 2, None, None, None, None
add_1283, 0.15, 2, None, None, None, None
read_cell_hidden_1x1_1x1_120, 0.38, None, 3, None, None, None
read_u2_h_120_1x128, 0.46, None, None, 5, None, None
multiply_1151, 0.21, 2, None, None, None, None
add_1284, 0.29, 2, None, None, None, None
read_cell_hidden_1x1_1x1_121, 0.25, None, 3, None, None, None
read_u2_h_121_1x128, 0.25, None, None, 5, None, None
multiply_1152, 0.29, 2, None, None, None, None
add_1285, 0.32, 2, None, None, None, None
read_cell_hidden_1x1_1x1_122, 0.35, None, 3, None, None, None
read_u2_h_122_1x128, 0.31, None, None, 5, None, None
multiply_1153, 0.15, 2, None, None, None, None
add_1286, 0.39, 2, None, None, None, None
read_cell_hidden_1x1_1x1_123, 0.41, None, 3, None, None, None
read_u2_h_123_1x128, 0.36, None, None, 5, None, None
multiply_1154, 0.37, 2, None, None, None, None
add_1287, 0.37, 2, None, None, None, None
read_cell_hidden_1x1_1x1_124, 0.22, None, 3, None, None, None
read_u2_h_124_1x128, 0.15, None, None, 5, None, None
multiply_1155, 0.17, 2, None, None, None, None
add_1288, 0.47, 2, None, None, None, None
read_cell_hidden_1x1_1x1_125, 0.18, None, 3, None, None, None
read_u2_h_125_1x128, 0.22, None, None, 5, None, None
multiply_1156, 0.12, 2, None, None, None, None
add_1289, 0.26, 2, None, None, None, None
read_cell_hidden_1x1_1x1_126, 0.25, None, 3, None, None, None
read_u2_h_126_1x128, 0.43, None, None, 5, None, None
multiply_1157, 0.40, 2, None, None, None, None
read_cell_hidden_1x1_1x1_127, 0.17, None, 3, None, None, None
read_u2_h_127_1x128, 0.46, None, None, 5, None, None
multiply_1158, 0.21, 2, None, None, None, None
write_result_u2_h_bh2_h, 0.13, None, None, None, 3, None
read_u2_z_sig_in, 0.47, None, None, None, 3, None
read_u2_r_sig_in, 0.14, None, None, None, 3, None
sinh_cosh_4, 0.45, 14, None, None, None, None
sinh_cosh_5, 0.37, 14, None, None, None, None
write_u2_z_sinh_u2_z_cosh, 0.23, None, None, None, 3, None
write_u2_r_sinh_u2_r_cosh, 0.27, None, None, None, 3, None
read_u2_z_sinh, 0.12, None, None, None, 3, None
read_u2_z_cosh, 0.16, None, None, None, 3, None
read_u2_r_sinh, 0.13, None, None, None, 3, None
read_u2_r_cosh, 0.12, None, None, None, 3, None
add_1291, 0.31, 2, None, None, None, None
add_1292, 0.27, 2, None, None, None, None
write_u2_z_exp_1, 0.44, None, None, None, 3, None
write_u2_r_exp_1, 0.28, None, None, None, 3, None
divide_4, 0.35, 8, None, None, None, None
divide_5, 0.49, 8, None, None, None, None
read_u2_z_exp_1, 0.32, None, None, None, 3, None
read_u2_r_exp_1, 0.48, None, None, None, 3, None
write_z2_t, 0.31, None, None, None, 3, None
write_r2_t, 0.23, None, None, None, 3, None
read_result_u2_h_bh2_h, 0.46, None, None, None, 3, None
read_r2_t, 0.18, None, None, None, 3, None
multiply_1159, 0.48, 2, None, None, None, None
write_result_r2_t_mul_r, 0.29, None, None, None, 3, None
read_w2_h_sig_in, 0.48, None, None, None, 3, None
read_result_r2_t_mul_r, 0.24, None, None, None, 3, None
read_b2_h, 0.20, None, None, 5, None, None
add_1293, 0.50, 2, None, None, None, None
write_tanh2_in, 0.34, None, None, None, 3, None
write_tanh2_in, 0.26, None, None, None, 3, None
read_tanh2_in, 0.49, None, None, None, 3, None
read_tanh2_in, 0.26, None, None, None, 3, None
add_1294, 0.33, 2, None, None, None, None
write_tanh2_in2, 0.18, None, None, None, 3, None
sinh_cosh_6, 0.26, 14, None, None, None, None
write_tanh2_sinh_tanh2_cosh, 0.48, None, None, None, 3, None
read_tanh2_in2, 0.27, None, None, None, 3, None
read_tanh2_sinh, 0.23, None, None, None, 3, None
read_tanh2_cosh, 0.46, None, None, None, 3, None
add_1295, 0.15, 2, None, None, None, None
write_tanh2_exp, 0.27, None, None, None, 3, None
add_1296, 0.49, 2, None, None, None, None
read_tanh2_exp, 0.42, None, None, None, 3, None
write_tanh2_exp_1, 0.35, None, None, None, 3, None
divide_6, 0.46, 8, None, None, None, None
read_tanh2_exp_1, 0.17, None, None, None, 3, None
write_tanh2_division, 0.20, None, None, None, 3, None
write_tanh2_division, 0.18, None, None, None, 3, None
sub_2, 0.40, 2, None, None, None, None
read_z2_t, 0.47, None, None, None, 3, None
write_1_z2_t, 0.31, None, None, None, 3, None
add_1297, 0.25, 2, None, None, None, None
read_tanh2_division, 0.22, None, None, None, 3, None
read_tanh2_division, 0.47, None, None, None, 3, None
write_h2_tilde, 0.34, None, None, None, 3, None
multiply_1160, 0.39, 2, None, None, None, None
read_h2_tilde, 0.18, None, None, None, 3, None
write_z2_t_mul_h2_tilde, 0.12, None, None, None, 3, None
multiply_1161, 0.15, 2, None, None, None, None
read_1_z2_t, 0.23, None, None, None, 3, None
write_cell_hidden_1_z2_t, 0.40, None, None, None, 3, None
add_1298, 0.43, 2, None, None, None, None
read_z2_t_mul_h2_tilde, 0.21, None, None, None, 3, None
read_cell_hidden_1_z2_t, 0.20, None, None, None, 3, None
write_hidden_2, 0.41, None, None, None, 3, None
read_u3_z_0_1x128, 0.45, None, None, 5, None, None
multiply_1162, 0.34, 2, None, None, None, None
add_1299, 0.32, 2, None, None, None, None
read_b3_z, 0.14, None, None, 5, None, None
add_1425, 0.14, 2, None, None, None, None
read_u3_z_1_1x128, 0.49, None, None, 5, None, None
multiply_1167, 0.39, 2, None, None, None, None
add_1300, 0.13, 2, None, None, None, None
read_u3_z_2_1x128, 0.21, None, None, 5, None, None
multiply_1168, 0.47, 2, None, None, None, None
add_1301, 0.28, 2, None, None, None, None
read_u3_z_3_1x128, 0.39, None, None, 5, None, None
multiply_1169, 0.42, 2, None, None, None, None
add_1302, 0.48, 2, None, None, None, None
read_u3_z_4_1x128, 0.15, None, None, 5, None, None
multiply_1170, 0.41, 2, None, None, None, None
add_1303, 0.24, 2, None, None, None, None
read_u3_z_5_1x128, 0.11, None, None, 5, None, None
multiply_1171, 0.22, 2, None, None, None, None
add_1304, 0.49, 2, None, None, None, None
read_u3_z_6_1x128, 0.24, None, None, 5, None, None
multiply_1172, 0.34, 2, None, None, None, None
add_1305, 0.36, 2, None, None, None, None
read_u3_z_7_1x128, 0.48, None, None, 5, None, None
multiply_1173, 0.11, 2, None, None, None, None
add_1306, 0.18, 2, None, None, None, None
read_u3_z_8_1x128, 0.26, None, None, 5, None, None
multiply_1174, 0.42, 2, None, None, None, None
add_1307, 0.39, 2, None, None, None, None
read_u3_z_9_1x128, 0.10, None, None, 5, None, None
multiply_1175, 0.44, 2, None, None, None, None
add_1308, 0.14, 2, None, None, None, None
read_u3_z_10_1x128, 0.34, None, None, 5, None, None
multiply_1176, 0.21, 2, None, None, None, None
add_1309, 0.37, 2, None, None, None, None
read_u3_z_11_1x128, 0.49, None, None, 5, None, None
multiply_1177, 0.28, 2, None, None, None, None
add_1310, 0.36, 2, None, None, None, None
read_u3_z_12_1x128, 0.19, None, None, 5, None, None
multiply_1178, 0.21, 2, None, None, None, None
add_1311, 0.35, 2, None, None, None, None
read_u3_z_13_1x128, 0.29, None, None, 5, None, None
multiply_1179, 0.19, 2, None, None, None, None
add_1312, 0.22, 2, None, None, None, None
read_u3_z_14_1x128, 0.21, None, None, 5, None, None
multiply_1180, 0.48, 2, None, None, None, None
add_1313, 0.31, 2, None, None, None, None
read_u3_z_15_1x128, 0.44, None, None, 5, None, None
multiply_1181, 0.38, 2, None, None, None, None
add_1314, 0.41, 2, None, None, None, None
read_u3_z_16_1x128, 0.38, None, None, 5, None, None
multiply_1182, 0.29, 2, None, None, None, None
add_1315, 0.49, 2, None, None, None, None
read_u3_z_17_1x128, 0.32, None, None, 5, None, None
multiply_1183, 0.38, 2, None, None, None, None
add_1316, 0.32, 2, None, None, None, None
read_u3_z_18_1x128, 0.35, None, None, 5, None, None
multiply_1184, 0.11, 2, None, None, None, None
add_1317, 0.13, 2, None, None, None, None
read_u3_z_19_1x128, 0.39, None, None, 5, None, None
multiply_1185, 0.39, 2, None, None, None, None
add_1318, 0.13, 2, None, None, None, None
read_u3_z_20_1x128, 0.49, None, None, 5, None, None
multiply_1186, 0.30, 2, None, None, None, None
add_1319, 0.46, 2, None, None, None, None
read_u3_z_21_1x128, 0.40, None, None, 5, None, None
multiply_1187, 0.24, 2, None, None, None, None
add_1320, 0.17, 2, None, None, None, None
read_u3_z_22_1x128, 0.14, None, None, 5, None, None
multiply_1188, 0.36, 2, None, None, None, None
add_1321, 0.20, 2, None, None, None, None
read_u3_z_23_1x128, 0.26, None, None, 5, None, None
multiply_1189, 0.15, 2, None, None, None, None
add_1322, 0.24, 2, None, None, None, None
read_u3_z_24_1x128, 0.32, None, None, 5, None, None
multiply_1190, 0.43, 2, None, None, None, None
add_1323, 0.14, 2, None, None, None, None
read_u3_z_25_1x128, 0.13, None, None, 5, None, None
multiply_1191, 0.10, 2, None, None, None, None
add_1324, 0.38, 2, None, None, None, None
read_u3_z_26_1x128, 0.35, None, None, 5, None, None
multiply_1192, 0.12, 2, None, None, None, None
add_1325, 0.44, 2, None, None, None, None
read_u3_z_27_1x128, 0.14, None, None, 5, None, None
multiply_1193, 0.16, 2, None, None, None, None
add_1326, 0.47, 2, None, None, None, None
read_u3_z_28_1x128, 0.33, None, None, 5, None, None
multiply_1194, 0.24, 2, None, None, None, None
add_1327, 0.15, 2, None, None, None, None
read_u3_z_29_1x128, 0.45, None, None, 5, None, None
multiply_1195, 0.48, 2, None, None, None, None
add_1328, 0.37, 2, None, None, None, None
read_u3_z_30_1x128, 0.22, None, None, 5, None, None
multiply_1196, 0.22, 2, None, None, None, None
add_1329, 0.43, 2, None, None, None, None
read_u3_z_31_1x128, 0.26, None, None, 5, None, None
multiply_1197, 0.20, 2, None, None, None, None
add_1330, 0.28, 2, None, None, None, None
read_u3_z_32_1x128, 0.38, None, None, 5, None, None
multiply_1198, 0.38, 2, None, None, None, None
add_1331, 0.34, 2, None, None, None, None
read_u3_z_33_1x128, 0.11, None, None, 5, None, None
multiply_1199, 0.14, 2, None, None, None, None
add_1332, 0.48, 2, None, None, None, None
read_u3_z_34_1x128, 0.21, None, None, 5, None, None
multiply_1200, 0.15, 2, None, None, None, None
add_1333, 0.40, 2, None, None, None, None
read_u3_z_35_1x128, 0.44, None, None, 5, None, None
multiply_1201, 0.41, 2, None, None, None, None
add_1334, 0.46, 2, None, None, None, None
read_u3_z_36_1x128, 0.17, None, None, 5, None, None
multiply_1202, 0.13, 2, None, None, None, None
add_1335, 0.31, 2, None, None, None, None
read_u3_z_37_1x128, 0.12, None, None, 5, None, None
multiply_1203, 0.25, 2, None, None, None, None
add_1336, 0.31, 2, None, None, None, None
read_u3_z_38_1x128, 0.47, None, None, 5, None, None
multiply_1204, 0.34, 2, None, None, None, None
add_1337, 0.49, 2, None, None, None, None
read_u3_z_39_1x128, 0.46, None, None, 5, None, None
multiply_1205, 0.10, 2, None, None, None, None
add_1338, 0.40, 2, None, None, None, None
read_u3_z_40_1x128, 0.28, None, None, 5, None, None
multiply_1206, 0.20, 2, None, None, None, None
add_1339, 0.49, 2, None, None, None, None
read_u3_z_41_1x128, 0.11, None, None, 5, None, None
multiply_1207, 0.21, 2, None, None, None, None
add_1340, 0.46, 2, None, None, None, None
read_u3_z_42_1x128, 0.21, None, None, 5, None, None
multiply_1208, 0.45, 2, None, None, None, None
add_1341, 0.48, 2, None, None, None, None
read_u3_z_43_1x128, 0.39, None, None, 5, None, None
multiply_1209, 0.20, 2, None, None, None, None
add_1342, 0.25, 2, None, None, None, None
read_u3_z_44_1x128, 0.16, None, None, 5, None, None
multiply_1210, 0.27, 2, None, None, None, None
add_1343, 0.19, 2, None, None, None, None
read_u3_z_45_1x128, 0.22, None, None, 5, None, None
multiply_1211, 0.48, 2, None, None, None, None
add_1344, 0.35, 2, None, None, None, None
read_u3_z_46_1x128, 0.29, None, None, 5, None, None
multiply_1212, 0.40, 2, None, None, None, None
add_1345, 0.47, 2, None, None, None, None
read_u3_z_47_1x128, 0.47, None, None, 5, None, None
multiply_1213, 0.38, 2, None, None, None, None
add_1346, 0.34, 2, None, None, None, None
read_u3_z_48_1x128, 0.47, None, None, 5, None, None
multiply_1214, 0.44, 2, None, None, None, None
add_1347, 0.37, 2, None, None, None, None
read_u3_z_49_1x128, 0.34, None, None, 5, None, None
multiply_1215, 0.45, 2, None, None, None, None
add_1348, 0.39, 2, None, None, None, None
read_u3_z_50_1x128, 0.29, None, None, 5, None, None
multiply_1216, 0.47, 2, None, None, None, None
add_1349, 0.17, 2, None, None, None, None
read_u3_z_51_1x128, 0.45, None, None, 5, None, None
multiply_1217, 0.34, 2, None, None, None, None
add_1350, 0.37, 2, None, None, None, None
read_u3_z_52_1x128, 0.16, None, None, 5, None, None
multiply_1218, 0.45, 2, None, None, None, None
add_1351, 0.12, 2, None, None, None, None
read_u3_z_53_1x128, 0.43, None, None, 5, None, None
multiply_1219, 0.24, 2, None, None, None, None
add_1352, 0.19, 2, None, None, None, None
read_u3_z_54_1x128, 0.20, None, None, 5, None, None
multiply_1220, 0.46, 2, None, None, None, None
add_1353, 0.28, 2, None, None, None, None
read_u3_z_55_1x128, 0.26, None, None, 5, None, None
multiply_1221, 0.24, 2, None, None, None, None
add_1354, 0.39, 2, None, None, None, None
read_u3_z_56_1x128, 0.50, None, None, 5, None, None
multiply_1222, 0.36, 2, None, None, None, None
add_1355, 0.20, 2, None, None, None, None
read_u3_z_57_1x128, 0.11, None, None, 5, None, None
multiply_1223, 0.46, 2, None, None, None, None
add_1356, 0.34, 2, None, None, None, None
read_u3_z_58_1x128, 0.34, None, None, 5, None, None
multiply_1224, 0.48, 2, None, None, None, None
add_1357, 0.42, 2, None, None, None, None
read_u3_z_59_1x128, 0.20, None, None, 5, None, None
multiply_1225, 0.42, 2, None, None, None, None
add_1358, 0.47, 2, None, None, None, None
read_u3_z_60_1x128, 0.40, None, None, 5, None, None
multiply_1226, 0.32, 2, None, None, None, None
add_1359, 0.22, 2, None, None, None, None
read_u3_z_61_1x128, 0.25, None, None, 5, None, None
multiply_1227, 0.18, 2, None, None, None, None
add_1360, 0.18, 2, None, None, None, None
read_u3_z_62_1x128, 0.47, None, None, 5, None, None
multiply_1228, 0.34, 2, None, None, None, None
add_1361, 0.39, 2, None, None, None, None
read_u3_z_63_1x128, 0.41, None, None, 5, None, None
multiply_1229, 0.26, 2, None, None, None, None
add_1362, 0.12, 2, None, None, None, None
read_u3_z_64_1x128, 0.19, None, None, 5, None, None
multiply_1230, 0.38, 2, None, None, None, None
add_1363, 0.18, 2, None, None, None, None
read_u3_z_65_1x128, 0.35, None, None, 5, None, None
multiply_1231, 0.46, 2, None, None, None, None
add_1364, 0.15, 2, None, None, None, None
read_u3_z_66_1x128, 0.33, None, None, 5, None, None
multiply_1232, 0.37, 2, None, None, None, None
add_1365, 0.47, 2, None, None, None, None
read_u3_z_67_1x128, 0.14, None, None, 5, None, None
multiply_1233, 0.30, 2, None, None, None, None
add_1366, 0.23, 2, None, None, None, None
read_u3_z_68_1x128, 0.30, None, None, 5, None, None
multiply_1234, 0.50, 2, None, None, None, None
add_1367, 0.36, 2, None, None, None, None
read_u3_z_69_1x128, 0.12, None, None, 5, None, None
multiply_1235, 0.42, 2, None, None, None, None
add_1368, 0.13, 2, None, None, None, None
read_u3_z_70_1x128, 0.18, None, None, 5, None, None
multiply_1236, 0.48, 2, None, None, None, None
add_1369, 0.30, 2, None, None, None, None
read_u3_z_71_1x128, 0.14, None, None, 5, None, None
multiply_1237, 0.49, 2, None, None, None, None
add_1370, 0.43, 2, None, None, None, None
read_u3_z_72_1x128, 0.20, None, None, 5, None, None
multiply_1238, 0.38, 2, None, None, None, None
add_1371, 0.24, 2, None, None, None, None
read_u3_z_73_1x128, 0.43, None, None, 5, None, None
multiply_1239, 0.27, 2, None, None, None, None
add_1372, 0.31, 2, None, None, None, None
read_u3_z_74_1x128, 0.40, None, None, 5, None, None
multiply_1240, 0.21, 2, None, None, None, None
add_1373, 0.23, 2, None, None, None, None
read_u3_z_75_1x128, 0.29, None, None, 5, None, None
multiply_1241, 0.37, 2, None, None, None, None
add_1374, 0.49, 2, None, None, None, None
read_u3_z_76_1x128, 0.42, None, None, 5, None, None
multiply_1242, 0.41, 2, None, None, None, None
add_1375, 0.44, 2, None, None, None, None
read_u3_z_77_1x128, 0.28, None, None, 5, None, None
multiply_1243, 0.38, 2, None, None, None, None
add_1376, 0.17, 2, None, None, None, None
read_u3_z_78_1x128, 0.22, None, None, 5, None, None
multiply_1244, 0.48, 2, None, None, None, None
add_1377, 0.19, 2, None, None, None, None
read_u3_z_79_1x128, 0.25, None, None, 5, None, None
multiply_1245, 0.13, 2, None, None, None, None
add_1378, 0.26, 2, None, None, None, None
read_u3_z_80_1x128, 0.20, None, None, 5, None, None
multiply_1246, 0.31, 2, None, None, None, None
add_1379, 0.47, 2, None, None, None, None
read_u3_z_81_1x128, 0.49, None, None, 5, None, None
multiply_1247, 0.37, 2, None, None, None, None
add_1380, 0.21, 2, None, None, None, None
read_u3_z_82_1x128, 0.28, None, None, 5, None, None
multiply_1248, 0.34, 2, None, None, None, None
add_1381, 0.36, 2, None, None, None, None
read_u3_z_83_1x128, 0.42, None, None, 5, None, None
multiply_1249, 0.28, 2, None, None, None, None
add_1382, 0.46, 2, None, None, None, None
read_u3_z_84_1x128, 0.35, None, None, 5, None, None
multiply_1250, 0.26, 2, None, None, None, None
add_1383, 0.19, 2, None, None, None, None
read_u3_z_85_1x128, 0.31, None, None, 5, None, None
multiply_1251, 0.35, 2, None, None, None, None
add_1384, 0.32, 2, None, None, None, None
read_u3_z_86_1x128, 0.12, None, None, 5, None, None
multiply_1252, 0.30, 2, None, None, None, None
add_1385, 0.20, 2, None, None, None, None
read_u3_z_87_1x128, 0.23, None, None, 5, None, None
multiply_1253, 0.42, 2, None, None, None, None
add_1386, 0.42, 2, None, None, None, None
read_u3_z_88_1x128, 0.45, None, None, 5, None, None
multiply_1254, 0.32, 2, None, None, None, None
add_1387, 0.14, 2, None, None, None, None
read_u3_z_89_1x128, 0.23, None, None, 5, None, None
multiply_1255, 0.15, 2, None, None, None, None
add_1388, 0.40, 2, None, None, None, None
read_u3_z_90_1x128, 0.21, None, None, 5, None, None
multiply_1256, 0.26, 2, None, None, None, None
add_1389, 0.42, 2, None, None, None, None
read_u3_z_91_1x128, 0.13, None, None, 5, None, None
multiply_1257, 0.35, 2, None, None, None, None
add_1390, 0.41, 2, None, None, None, None
read_u3_z_92_1x128, 0.20, None, None, 5, None, None
multiply_1258, 0.35, 2, None, None, None, None
add_1391, 0.11, 2, None, None, None, None
read_u3_z_93_1x128, 0.22, None, None, 5, None, None
multiply_1259, 0.22, 2, None, None, None, None
add_1392, 0.47, 2, None, None, None, None
read_u3_z_94_1x128, 0.17, None, None, 5, None, None
multiply_1260, 0.24, 2, None, None, None, None
add_1393, 0.16, 2, None, None, None, None
read_u3_z_95_1x128, 0.30, None, None, 5, None, None
multiply_1261, 0.33, 2, None, None, None, None
add_1394, 0.50, 2, None, None, None, None
read_u3_z_96_1x128, 0.41, None, None, 5, None, None
multiply_1262, 0.39, 2, None, None, None, None
add_1395, 0.18, 2, None, None, None, None
read_u3_z_97_1x128, 0.39, None, None, 5, None, None
multiply_1263, 0.29, 2, None, None, None, None
add_1396, 0.38, 2, None, None, None, None
read_u3_z_98_1x128, 0.28, None, None, 5, None, None
multiply_1264, 0.35, 2, None, None, None, None
add_1397, 0.18, 2, None, None, None, None
read_u3_z_99_1x128, 0.30, None, None, 5, None, None
multiply_1265, 0.23, 2, None, None, None, None
add_1398, 0.34, 2, None, None, None, None
read_u3_z_100_1x128, 0.49, None, None, 5, None, None
